Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality
3940,6.4,0.39,0.21,1.2,41,35,136,0.99225,3.15,0.46,10.2,0
1655,7.5,305,0.4,18.9,59,44,170,1,2.99,0.46,9,0
1867,6.3,0.28,0.3,3.1,39,24,115,0.9942,3.05,0.43,8.6,0
4476,7.4,0.18,0.3,10.4,45,44,174,0.9966,3.11,0.57,9.7,1
453,6.9,0.2,0.36,1.5,31,38,147,0.9931,3.35,0.56,11,1
3297,6.7,0.16,0.34,1.6,26,27,109,0.9934,3.34,0.58,10.1,1
2574,7.5,0.21,0.34,,0.06,26,111,0.9931,3.51,0.47,10.7,1
4103,7.2,0.23,0.39,14.2,58,49,192,0.9979,2.98,0.48,9,1
3405,6.3,0.3,0.34,1.6,49,14,132,994,3.3,0.49,9.5,1
2924,7,0.14,0.32,9,39,54,141,0.9956,3.22,0.43,9.4,1
722,6,0.32,0.3,1.3,25,18,112,0.98802,3.07,0.64,13.3,1
2202,9.2,0.71,0.23,6.2,42,15,93,0.9948,2.89,0.34,10.1,1
2020,8.1,0.27,0.41,1.45,33,11,63,0.9908,2.99,0.56,12,0
723,6.7,0.14,0.51,4.3,28,57,124,0.99176,2.91,0.54,10.7,1
3865,7.6,0.31,0.26,1.7,73,40,157,0.9938,3.1,0.46,9.8,0
1337,6.2,0.53,0.02,0.9,35,6,81,0.99234,3.24,0.35,9.5,0
2949,6.9,0.19,0.35,6.9,45,51,125,0.9933,3.1,0.44,10.7,1
2231,7.8,965,0.6,65.8,74,8,160,1.03898,3.39,0.69,11.7,1
2624,7.3,0.3,0.74,13.5,39,46,165,0.9982,,0.4,8.7,0
2832,6.1,0.45,0.27,0.8,39,13,82,0.9927,3.23,0.32,9.5,0
492,6.1,0.36,0.27,2.1,35,16,100,0.9917,3.4,0.71,11.5,1
2255,6.3,0.48,0.48,1.8,35,35,96,0.99121,3.49,0.74,12.2,1
752,7.9,,0.46,10.6,244,33,227,0.9983,2.87,0.74,9.1,0
1988,9.2,0.32,0.42,1.3,46,14,186,0.9949,3.08,0.48,9.6,0
3104,7,0.24,0.36,4.9,83,10,133,0.9942,3.33,0.37,10.8,1
2651,6.5,0.13,0.27,2.6,35,32,76,0.9914,3.21,0.76,11.3333333333333,1
1235,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,0
1388,6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,1
50,7.4,0.16,0.3,13.7,56,33,168,0.99825,2.9,0.44,8.7,1
1369,5.9,0.32,0.39,3.3,114,24,140,0.9934,3.09,0.45,9.2,1
3254,6,0.22,0.23,5,45,10,122,0.99261,2.94,0.63,10,1
337,8.3,0.16,0.37,7.9,25,38,107,0.99306,2.93,0.37,11.9,1
4504,8.1,0.26,0.3,7.8,49,39,152,0.9954,2.99,0.58,10,1
3703,6.3,0.18,0.22,5.6,47,45,147,0.99383,3.09,0.54,10,0
4116,6.8,0.32,0.34,1.2,44,14,67,0.9919,3.05,0.47,10.6,0
2396,6,0.2,0.24,5.3,75,49,201,0.99466,3.21,0.43,9.5,0
1586,5.9,0.17,0.3,1.4,42,25,119,0.9931,3.68,0.72,10.5,1
2155,8.3,0.16,0.48,1.7,57,31,98,0.9943,3.15,0.41,10.3,1
502,8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,1
1059,5.2,0.24,0.45,3.8,27,21,128,992,3.55,0.49,11.2,1
1730,7,0.25,0.33,2.1,21,17,,0.99021,3.26,0.45,12.3,1
1855,5.9,0.25,0.24,7.4,44,21,113,0.99462,3.38,0.58,10.5,1
3071,7.3,0.26,0.49,5,28,32,107,0.9936,3.24,0.54,10.8,1
639,7.8,0.2,0.2,1.4,36,25,83,0.99088,3.03,0.46,11.7,1
2141,8.3,0.36,0.57,15,52,35,256,1.0001,2.93,0.64,8.6,0
678,6.9,0.18,0.36,1.3,36,40,117,0.9934,3.27,0.95,9.5,1
2547,7.1,0.32,0.3,9.9,41,63,192,0.99642,3.12,0.49,10.2,1
127,6.4,0.25,0.3,5.5,38,15,129,0.9948,3.14,0.49,9.6,1
3707,5,0.17,0.56,1.5,26,24,115,0.9906,3.48,0.39,10.8,1
3853,7.4,0.33,0.26,15.6,49,67,210,0.99907,3.06,0.68,9.5,0
928,7.1,0.26,0.19,8.2,51,53,187,996,3.16,0.52,9.7,0
2532,8.6,0.18,0.28,0.8,32,25,78,0.99104,2.99,0.38,11.1,0
2821,6.5,0.39,0.81,1.2,217,14,74,0.9936,3.08,0.53,9.5,0
608,7.2,0.31,0.35,7.2,46,45,178,0.9955,3.14,0.53,9.7,0
3207,6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,0
4036,7.1,0.33,0.18,6.3,94,27,166,0.99474,2.9,0.49,9.5,0
4369,6.2,0.35,0.25,18.4,51,28,182,0.99946,3.13,0.62,9.3,1
3373,6.8,0.28,0.6,1.1,132,42,127,0.9934,3.09,0.44,9.1,1
8,6.4,0.29,0.21,9.65,41,36,119,0.99334,2.99,0.34,10.9333333333333,1
3543,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,0
1581,5.9,0.32,0.26,1.5,57,17,141,0.9917,3.24,0.36,10.7,0
1886,6.7,0.24,0.26,12.6,53,44,182,0.99802,3.42,0.42,9.7,0
15,6.4,0.3,0.3,2.25,38,8,210,0.9937,3.2,0.62,9.9,1
1544,6.8,0.24,0.35,6.4,48,44,172,0.9944,3.29,0.55,10.5,1
1489,8.1,0.19,0.58,16.65,49,48,181,1.0006,3.2,0.62,9.1,1
2115,7.8,0.43,0.49,13,33,37,158,0.9955,3.14,0.35,11.3,1
3786,6.8,0.27,0.22,8.1,34,55,203,0.9961,3.19,0.52,8.9,0
3014,7.1,0.44,0.62,11.8,44,52,152,0.9975,3.12,0.46,8.7,1
1681,6.6,0.29,0.44,9,53,62,178,0.99685,3.02,0.45,8.9,0
3613,6.8,0.36,0.32,1.6,39,,124,0.9948,3.3,0.67,9.6,0
1750,7.8,0.3,0.29,16.85,54,23,135,0.9998,3.16,0.38,9,1
4326,6.3,0.32,0.26,12,49,63,170,0.9961,3.14,0.55,9.9,1
3536,5.2,0.28,0.29,1.1,28,18,69,0.99168,3.24,0.54,10,1
1399,6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,1
1104,6.7,0.35,0.32,9,32,29,113,0.99188,3.13,0.65,12.9,1
710,7.1,0.37,0.32,1.4,37,27,126,0.9918,3.19,0.62,12,0
4066,7.8,445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,0
2472,6.8,0.27,0.3,13,47,69,160,0.99705,3.16,0.5,9.6,1
4148,7.4,0.16,0.3,1.4,64,34,166,0.99136,3.11,0.42,11.4333333333333,1
4569,6.5,0.33,0.32,1,41,39,120,0.99004,3.06,0.37,12.2,1
2539,6.8,0.28,0.29,11.9,52,51,149,0.99544,3.02,0.58,10.4,1
1528,7.1,0.26,0.32,5.9,37,39,97,0.9934,3.31,0.4,11.6,1
3057,6.4,225,0.48,2.2,115,29,104,0.9918,3.24,0.58,12.1,1
3995,7.6,0.1,0.33,1,31,33,93,0.99094,3.06,0.68,11.2,1
4469,7.1,0.2,0.3,0.9,19,4,28,0.98931,3.2,0.36,12,1
1846,6.1,0.33,0.32,7.8,52,52,183,0.99657,3.39,0.65,9.5,0
3354,5.7,0.23,0.25,7.95,42,16,108,0.99486,3.44,0.61,10.3,1
1444,8.2,0.15,0.48,2.7,52,24,190,995,3.5,0.45,10.9,1
2085,8.6,0.36,0.26,11.1,0.03,43.5,171,0.9948,3.03,0.49,12,0
1090,7.3,0.17,0.23,6.3,51,35,240,0.9963,3.36,0.54,10,1
3160,7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,1
1900,7.5,0.32,0.49,1.7,31,44,109,0.9906,3.07,0.46,12.5,1
3147,7.2,0.29,0.53,18.15,47,59,182,0.9992,3.09,0.52,9.6,0
4331,5.8,0.28,0.35,2.3,53,36,114,0.9924,3.28,0.5,10.2,0
233,6.6,0.42,0.13,12.8,44,26,158,0.99772,3.24,0.47,9,0
2820,6.3,0.34,0.27,2.5,24,40,152,0.99095,3.35,0.6,11.9,1
3403,7,0.22,0.28,1.5,37,29,115,0.9927,3.11,0.55,10.5,1
3130,6.5,0.22,0.45,8,53,52,196,0.9959,3.23,0.48,9.1,1
3984,6,0.16,0.36,1.6,42,13,61,0.99143,3.22,0.54,10.8,1
3640,6.9,0.18,0.36,1.3,36,40,117,0.9934,,0.95,9.5,1
4019,6.9,0.28,0.22,10,52,36,131,0.99696,3.08,0.46,9.6,0
4465,6.7,0.3,0.74,5,38,35,157,0.9945,3.21,0.46,9.9,0
2497,7.5,0.34,0.24,3.85,31,5,34,0.99098,3.01,0.36,11.8,0
3554,6.7,0.3,0.29,2.8,25,37,107,0.99159,3.31,0.63,11.3,1
2637,5.9,0.27,0.27,9,51,43,136,0.9941,3.25,0.53,10.7,1
350,6.3,0.25,0.22,3.3,48,41,161,0.99256,3.16,0.5,10.5,1
2132,6.7,0.32,0.32,1.7,31,31,114,0.98946,3.12,0.35,12.5,1
686,6.6,0.4,0.32,1.7,35,39,84,0.99096,3.59,0.48,12.7,1
2529,6.8,0.27,0.29,4.6,46,6,88,0.99458,3.34,0.48,10.6,0
255,7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,0
3347,6.5,0.36,0.32,1.1,31,13,66,0.9916,3.1,0.46,10.6,0
10,8.4,0.2,0.31,2.8,54,16,89,0.99416,2.96,0.45,9.5,1
397,8,0.61,0.38,12.1,301,24,220,0.9993,2.94,0.48,9.2,0
4094,6.4,0.18,0.74,11.9,46,54,168,0.9978,3.58,0.68,10.1,0
4422,4.8,0.34,0,6.5,28,33,163,0.9939,3.36,0.61,9.9,1
1411,6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,0
2913,5.7,0.26,0.24,17.8,59,23,124,0.99773,3.3,0.5,10.1,0
2965,7.5,0.38,0.33,5,45,30,131,0.9942,3.32,0.44,10.9,1
2777,9,0.17,0.49,1,39,46,131,993,3.09,0.51,10.5,1
3996,6.8,0.25,0.28,5,35,42,126,0.99048,3.12,0.38,12.6,1
4594,6.9,0.22,0.32,5.8,41,20,119,0.99296,3.17,0.55,11.2,1
1380,9.8,0.93,0.45,8.6,52,34,187,0.9994,3.12,0.59,10.2,0
245,7.2,0.4,0.49,1.1,48,11,138,0.9929,3.01,0.42,9.3,0
2022,6.4,0.23,0.3,7.1,37,63,236,0.9952,3.06,0.34,9.2,1
1930,5.3,0.16,0.39,1,28,40,101,0.99156,3.57,0.59,10.6,1
2885,6.6,0.44,0.32,3,95,13,75,0.98954,3.1,0.63,12.8,1
3372,6.9,0.36,0.35,8.6,38,37,125,0.9916,3,0.32,12.4,1
2668,8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,1
2095,6.3,0.19,0.29,5.5,42,44,189,0.99304,3.19,0.47,10.3,1
993,7.2,0.23,0.38,6.1,67,20,90,0.99496,3.17,0.79,9.7,0
2052,6.6,,0.41,8.9,46,51,169,0.9954,3.14,0.57,9.8,1
3471,7.3,0.13,0.27,4.6,0.08,34,172,0.9938,3.23,0.39,11.1,1
1168,8,0.37,0.32,1.6,0.04,32,166,992,3,0.55,11.3,1
3198,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,1
3520,6.6,0.4,0.46,6.2,56,42,241,0.9968,3.5,0.6,9.9,0
1747,6.8,0.26,0.24,1.9,43,70,154,0.99273,3.18,0.52,10.5,0
1394,5.1,0.31,0.3,0.9,37,28,152,992,3.54,0.56,10.1,1
501,4.4,0.46,0.1,2.8,24,31,111,0.98816,3.48,0.34,13.1,1
2167,6.9,0.19,0.28,5,58,14,146,0.9952,3.29,0.36,9.1,1
3326,6.2,0.34,0.3,11.1,47,28,237,0.9981,3.18,0.49,8.7,0
2337,6.9,0.4,0.56,11.2,43,40,142,0.9975,3.14,0.46,8.7,0
4166,5.4,0.27,0.22,4.6,22,29,107,0.98889,3.33,0.54,13.8,1
66,7.4,0.19,0.3,12.8,53,48.5,229,0.9986,3.14,0.49,9.1,1
4133,6.8,0.28,0.37,7,57,35,208,0.9973,3.57,0.55,10.2,0
2614,7.3,0.23,0.34,9.3,52,19,86,0.99574,3.04,0.56,10,0
3646,6.2,0.44,0.18,7.7,96,28,210,0.99771,3.56,0.72,9.2,0
1955,8.5,0.19,0.49,3.5,44,29,117,0.9938,3.14,0.51,10.1,1
1418,7,0.24,0.32,1.3,37,39,123,992,3.17,0.42,11.2,1
1842,5.9,0.28,0.39,1.4,31,,147,0.98836,3.08,0.64,12.9,1
1341,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,1
542,6.4,0.19,0.42,2.9,32,32,83,0.9908,3.3,0.41,11.7,1
1254,6.9,0.24,0.4,15.4,52,81,198,0.9986,3.2,0.69,9.4,0
1241,7.2,0.23,0.39,14.2,58,49,192,0.9979,2.98,0.48,9,1
1532,7,0.23,0.26,7.2,41,21,90,0.99509,3.22,0.55,9.5,1
83,7.2,0.15,0.39,1.8,43,21,159,0.9948,3.52,0.47,10,0
3423,6.5,0.24,0.24,1.6,46,15,60,0.9928,3.19,0.39,9.8,0
2011,6.9,0.44,0.27,5,38,33,166,0.99124,3.2,0.42,12.2,1
2703,7,0.32,0.29,7.6,25,35,124,0.99162,3.15,0.65,12.8,1
472,6.7,0.13,0.32,3.7,17,32,99,0.99348,3.12,0.44,10,1
143,6.9,0.19,0.35,5,67,32,150,995,3.36,0.48,9.8,0
830,6.7,0.18,0.28,10.2,39,29,115,0.99469,3.11,0.45,10.9,1
142,5.7,0.45,0.42,1.1,51,61,197,0.9932,3.02,0.4,9,0
4217,7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,1
2205,8.6,0.37,0.7,12.15,39,21,158,0.9983,3,0.73,9.3,1
3603,8.7,0.31,0.73,14.35,44,27,191,1.00013,2.96,0.88,8.7,0
2512,4.8,0.65,0.12,1.1,13,4,10,0.99246,3.32,0.36,13.5,0
493,7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9,0
48,7.6,0.48,0.28,10.4,49,57,205,0.99748,3.24,0.45,9.3,0
1939,7.3,205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,1
929,6.1,0.2,0.4,1.9,28,32,138,0.9914,3.26,0.72,11.7,0
3615,5.3,0.31,0.38,10.5,31,53,140,0.99321,3.34,0.46,11.7,1
2291,6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,0
2414,8.5,0.24,0.39,10.4,44,20,142,0.9974,3.2,0.53,10,1
4158,5.4,0.22,0.35,6.5,29,26,87,0.99092,3.29,0.44,12.5,1
342,6.8,0.28,0.17,13.9,47,49,162,0.9983,3.21,0.51,9,1
99,7.2,0.29,0.18,8.2,42,41,180,0.99644,3.16,0.49,9.1,0
2498,7.2,0.18,0.45,4.4,46,57,166,0.9943,3.13,0.62,11.2,1
469,7.3,0.25,0.41,1.8,37,52,165,0.9911,3.29,0.39,12.2,1
1178,7.9,0.22,0.24,4.6,44,39,159,0.9927,2.99,0.28,11.5,1
627,5,0.24,0.19,5,43,17,101,,3.67,0.57,10,0
685,6.5,0.18,0.48,18,54,56,183,1.00038,2.98,0.61,8.5,1
2548,6.4,0.23,0.26,8.1,54,47,181,0.9954,3.12,0.49,9.4,0
262,6.8,0.27,0.24,4.6,98,36,127,0.99412,3.15,0.49,9.6,1
2815,6,0.33,0.2,1.8,31,49,159,0.9919,3.41,0.53,11,1
3290,7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,1
1673,6.1,0.3,0.56,2.8,44,47,179,0.9924,3.3,0.57,10.9,1
3151,5.5,0.17,0.23,2.9,39,10,108,0.99243,3.28,0.5,10,0
239,8.2,0.27,0.43,1.6,35,31,128,0.9916,3.1,0.5,12.3,1
