Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality
3940,6.4,0.39,0.21,1.2,41,35,136,0.99225,3.15,0.46,10.2,Disappointing
1655,7.5,305,0.4,18.9,59,44,170,1,2.99,0.46,9,Disappointing
1867,6.3,0.28,0.3,3.1,39,24,115,0.9942,3.05,0.43,8.6,Disappointing
4476,7.4,0.18,0.3,10.4,45,44,174,0.9966,3.11,0.57,9.7,Good
453,6.9,0.2,0.36,1.5,31,38,147,0.9931,3.35,0.56,11,Good
3297,6.7,0.16,0.34,1.6,26,27,109,0.9934,3.34,0.58,10.1,Good
2574,7.5,0.21,0.34,,0.06,26,111,0.9931,3.51,0.47,10.7,Good
4103,7.2,0.23,0.39,14.2,58,49,192,0.9979,2.98,0.48,9,Good
3405,6.3,0.3,0.34,1.6,49,14,132,994,3.3,0.49,9.5,Good
2924,7,0.14,0.32,9,39,54,141,0.9956,3.22,0.43,9.4,Good
722,6,0.32,0.3,1.3,25,18,112,0.98802,3.07,0.64,13.3,Good
2202,9.2,0.71,0.23,6.2,42,15,93,0.9948,2.89,0.34,10.1,Good
2020,8.1,0.27,0.41,1.45,33,11,63,0.9908,2.99,0.56,12,Disappointing
723,6.7,0.14,0.51,4.3,28,57,124,0.99176,2.91,0.54,10.7,Good
3865,7.6,0.31,0.26,1.7,73,40,157,0.9938,3.1,0.46,9.8,Disappointing
1337,6.2,0.53,0.02,0.9,35,6,81,0.99234,3.24,0.35,9.5,Disappointing
2949,6.9,0.19,0.35,6.9,45,51,125,0.9933,3.1,0.44,10.7,Good
2231,7.8,965,0.6,65.8,74,8,160,1.03898,3.39,0.69,11.7,Good
2624,7.3,0.3,0.74,13.5,39,46,165,0.9982,,0.4,8.7,Disappointing
2832,6.1,0.45,0.27,0.8,39,13,82,0.9927,3.23,0.32,9.5,Disappointing
492,6.1,0.36,0.27,2.1,35,16,100,0.9917,3.4,0.71,11.5,Good
2255,6.3,0.48,0.48,1.8,35,35,96,0.99121,3.49,0.74,12.2,Good
752,7.9,,0.46,10.6,244,33,227,0.9983,2.87,0.74,9.1,Disappointing
1988,9.2,0.32,0.42,1.3,46,14,186,0.9949,3.08,0.48,9.6,Disappointing
3104,7,0.24,0.36,4.9,83,10,133,0.9942,3.33,0.37,10.8,Good
2651,6.5,0.13,0.27,2.6,35,32,76,0.9914,3.21,0.76,11.3333333333333,Good
1235,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,Disappointing
1388,6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,Good
50,7.4,0.16,0.3,13.7,56,33,168,0.99825,2.9,0.44,8.7,Good
1369,5.9,0.32,0.39,3.3,114,24,140,0.9934,3.09,0.45,9.2,Good
3254,6,0.22,0.23,5,45,10,122,0.99261,2.94,0.63,10,Good
337,8.3,0.16,0.37,7.9,25,38,107,0.99306,2.93,0.37,11.9,Good
4504,8.1,0.26,0.3,7.8,49,39,152,0.9954,2.99,0.58,10,Good
3703,6.3,0.18,0.22,5.6,47,45,147,0.99383,3.09,0.54,10,Disappointing
4116,6.8,0.32,0.34,1.2,44,14,67,0.9919,3.05,0.47,10.6,Disappointing
2396,6,0.2,0.24,5.3,75,49,201,0.99466,3.21,0.43,9.5,Disappointing
1586,5.9,0.17,0.3,1.4,42,25,119,0.9931,3.68,0.72,10.5,Good
2155,8.3,0.16,0.48,1.7,57,31,98,0.9943,3.15,0.41,10.3,Good
502,8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,Good
1059,5.2,0.24,0.45,3.8,27,21,128,992,3.55,0.49,11.2,Good
1730,7,0.25,0.33,2.1,21,17,,0.99021,3.26,0.45,12.3,Good
1855,5.9,0.25,0.24,7.4,44,21,113,0.99462,3.38,0.58,10.5,Good
3071,7.3,0.26,0.49,5,28,32,107,0.9936,3.24,0.54,10.8,Good
639,7.8,0.2,0.2,1.4,36,25,83,0.99088,3.03,0.46,11.7,Good
2141,8.3,0.36,0.57,15,52,35,256,1.0001,2.93,0.64,8.6,Disappointing
