Row,Col,Class
745,390,0
786,380,0
951,380,1
426,450,2
1080,37,0
1076,38,0
818,706,1
1003,211,1
776,481,2
203,562,1
779,345,0
1046,663,2
688,276,0
416,171,2
830,660,1
628,251,0
645,277,0
670,339,0
939,592,1
926,716,1
868,18,2
761,140,1
647,284,0
756,362,0
598,70,1
884,182,2
1079,4,0
1093,41,0
202,221,1
743,380,0
674,519,2
301,747,1
759,47,2
316,23,2
1053,5,0
710,500,1
657,672,2
219,6,2
442,333,2
1107,605,2
148,202,2
969,640,2
1078,20,0
662,395,2
866,624,2
1095,88,2
630,266,0
764,335,0
907,124,1
782,334,0
123,559,1
933,407,1
632,262,0
768,744,2
698,285,0
660,349,0
244,11,2
711,307,2
641,205,1
208,62,2
709,298,0
653,667,2
582,59,2
281,197,1
944,133,1
760,116,2
1015,772,2
651,266,0
7,770,2
437,409,1
580,269,1
18,301,1
643,242,0
965,153,1
548,343,1
675,351,0
849,639,2
185,82,2
454,698,2
1033,15,0
469,484,1
265,798,1
953,90,2
139,288,1
651,705,2
1016,166,1
849,80,1
687,471,2
688,142,2
446,629,2
1123,449,1
552,436,1
458,98,2
610,357,0
351,720,2
382,62,2
743,473,1
253,112,1
471,374,0
1118,581,2
624,279,0
909,282,2
365,36,2
840,766,1
795,369,0
763,330,0
957,61,1
557,151,2
137,237,1
210,134,2
74,798,1
677,339,0
601,502,2
1062,13,0
730,280,0
658,119,1
291,227,1
621,273,0
704,98,1
595,356,0
206,783,2
267,405,1
381,48,1
154,250,1
779,75,1
1041,27,0
396,298,2
432,62,1
144,221,1
619,557,0
844,353,1
980,432,1
870,530,1
50,633,1
612,335,0
934,44,0
252,146,1
945,435,1
560,728,1
879,592,2
952,120,1
479,153,1
799,142,1
762,742,1
1063,15,0
793,378,0
264,610,1
720,585,2
489,68,2
1068,64,2
719,281,0
768,216,1
609,335,0
1034,723,1
647,560,0
687,269,0
608,354,0
607,610,2
250,483,1
441,781,2
635,281,0
219,577,1
789,251,2
366,229,2
272,27,2
602,412,1
811,347,0
772,358,0
560,674,1
1115,52,2
56,153,2
642,270,0
522,457,0
195,268,2
997,115,2
760,369,0
746,8,1
534,650,2
1028,3,0
587,529,1
775,365,0
438,462,2
626,268,0
611,356,0
757,487,1
1060,1,0
610,326,0
1058,145,1
488,754,2
887,198,2
284,725,2
151,340,1
650,284,0
609,323,0
749,368,0
183,609,2
712,301,0
780,358,0
128,36,2
702,285,0
742,508,2
563,205,1
95,308,2
1023,17,0
58,387,1
782,391,0
620,238,0
859,317,1
931,260,2
883,57,1
1112,572,1
620,351,0
263,228,2
542,17,2
614,355,0
389,563,2
941,553,2
637,293,0
223,213,1
294,173,2
701,171,1
621,276,0
701,294,0
650,103,1
804,166,2
730,298,0
1060,401,1
582,711,2
653,573,0
707,290,0
923,125,2
633,281,0
797,361,0
687,283,0
170,742,1
1117,238,2
813,282,2
131,104,2
515,458,0
765,390,0
764,344,0
1076,39,0
149,446,1
504,50,2
691,268,0
111,372,1
697,742,1
800,356,0
626,240,0
1009,641,2
880,753,1
1098,324,2
210,72,1
906,370,2
875,393,1
911,21,1
633,647,2
671,287,2
773,402,0
888,155,2
926,586,2
312,218,2
717,289,0
920,130,2
785,138,2
245,254,1
613,336,0
149,534,1
629,244,0
737,361,0
244,120,2
800,102,2
554,699,1
207,560,1
760,398,0
620,75,1
1012,42,1
762,541,2
546,335,2
769,377,0
647,554,0
706,152,2
478,54,1
630,272,0
128,721,1
599,347,0
118,492,1
666,118,1
195,666,1
860,308,2
929,563,2
646,342,0
127,323,1
759,394,0
597,750,2
283,740,1
297,165,2
35,519,1
649,270,0
455,608,1
